Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Reporting Type,Sex,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),56,Belgium,G,FEMALE,PERCENT,23.33,23.33,23.33,23.33,35.33,34.67,34.67,34.67,35.33,35.33,38.00,39.33,38.00,38.00,41.33,39.33,39.33,38.00,38.00,38.00,40.67,42,42,42.67,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),84,Belize,G,FEMALE,PERCENT,6.90,6.90,6.90,6.90,3.33,6.67,6.67,6.67,3.33,0.00,0.00,0.00,0.00,3.13,3.13,3.13,3.13,9.38,9.38,9.38,9.38,12.5,12.5,15.62,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),204,Benin,G,FEMALE,PERCENT,6.02,6.02,6.02,6.02,7.23,7.23,7.23,7.23,10.84,10.84,10.84,10.84,8.43,8.43,8.43,8.43,7.23,7.23,7.23,7.23,7.23,8.43,7.41,7.41,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),64,Bhutan,G,FEMALE,PERCENT,2.00,9.33,9.33,9.33,9.33,9.33,9.33,2.67,2.67,8.51,8.51,8.51,8.51,8.51,8.51,8.51,8.51,8.51,8.51,14.89,14.89,14.89,17.39,17.39,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),68,Bolivia (Plurinational State of),G,FEMALE,PERCENT,11.54,11.54,11.54,18.46,18.46,19.23,16.92,16.92,16.92,16.92,22.31,25.38,25.38,25.38,25.38,53.08,53.08,53.08,53.08,53.08,53.08,46.15,46.15,46.15,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),70,Bosnia and Herzegovina,G,FEMALE,PERCENT,7.14,7.14,16.67,16.67,16.67,16.67,16.67,14.29,11.90,11.90,19.05,16.67,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,26.19,26.19,19.05,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),72,Botswana,G,FEMALE,PERCENT,17.02,17.02,17.02,17.02,17.02,11.11,11.11,11.11,11.11,11.11,7.94,7.94,7.94,7.94,9.52,9.52,9.52,9.52,9.52,9.52,10.77,10.77,11.11,11.11,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),76,Brazil,G,FEMALE,PERCENT,5.65,5.65,6.82,8.58,8.58,8.58,8.58,8.77,8.97,8.97,8.77,8.58,8.58,8.58,8.58,8.97,9.94,10.72,10.72,15.01,14.62,15.2,14.81,17.74,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),96,Brunei Darussalam,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,,,9.09,9.09,9.09,9.09,9.09,9.09,9.09,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),100,Bulgaria,G,FEMALE,PERCENT,10.83,10.83,26.25,26.25,26.25,26.25,22.08,22.08,21.67,21.67,20.83,20.83,20.83,22.92,24.58,20.42,20.42,19.17,23.75,25.83,26.67,27.08,22.5,24.17,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),854,Burkina Faso,G,FEMALE,PERCENT,8.11,8.11,8.11,11.71,11.71,11.71,11.71,11.71,15.32,15.32,15.32,15.32,15.32,15.75,18.90,13.33,9.45,11.02,11.02,13.39,13.39,6.3,6.3,16.9,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),108,Burundi,G,FEMALE,PERCENT,5.98,14.41,19.53,18.44,18.44,18.44,30.51,30.51,30.51,30.51,31.36,32.08,30.48,30.48,30.48,30.48,36.36,36.36,36.36,36.36,36.36,38.21,38.21,38.21,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),132,Cabo Verde,G,FEMALE,PERCENT,11.11,11.11,11.11,11.11,11.11,11.11,15.28,15.28,18.06,18.06,18.06,18.06,20.83,20.83,20.83,20.83,20.83,23.61,23.61,23.61,25.00,26.39,38.89,41.67,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),116,Cambodia,G,FEMALE,PERCENT,8.20,7.38,7.38,7.38,9.76,9.76,9.76,9.76,19.51,16.26,21.14,21.14,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.00,20.00,21.6,20.8,20.8,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),120,Cameroon,G,FEMALE,PERCENT,5.56,5.56,5.56,8.89,8.89,8.89,8.89,8.89,13.89,13.89,13.89,13.89,13.89,13.89,31.11,31.11,31.11,31.11,31.11,31.11,31.11,33.89,33.89,33.89,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),124,Canada,G,FEMALE,PERCENT,20.60,20.60,20.60,20.60,20.60,21.10,20.78,20.78,21.31,22.08,22.08,22.08,24.76,24.68,25.08,25.16,26.04,26.27,27.00,26.95,28.99,29.59,30.47,30.65,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),140,Central African Republic,G,FEMALE,PERCENT,7.34,7.34,7.34,7.34,,,10.48,10.48,10.48,10.48,9.62,,12.50,12.50,,,,8.57,8.57,8.57,8.57,8.57,12.86,12.86,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),148,Chad,G,FEMALE,PERCENT,2.40,2.40,2.40,5.81,5.81,6.45,6.45,6.45,5.16,5.16,5.16,5.16,12.77,14.89,14.89,14.89,14.89,12.77,12.77,14.88,15.43,15.38,31.18,25.89,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),152,Chile,G,FEMALE,PERCENT,10.83,10.83,12.50,12.50,12.50,12.50,15.00,15.00,15.00,15.00,14.17,14.17,14.17,14.17,15.83,15.83,15.83,15.83,,22.58,22.58,22.58,35.48,35.48,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),156,China,G,FEMALE,PERCENT,21.82,21.78,21.78,21.78,20.23,20.23,20.27,20.27,20.62,21.33,21.33,21.33,21.32,21.32,23.40,23.62,23.62,23.70,24.25,24.94,24.94,24.94,24.94,24.94,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),170,Colombia,G,FEMALE,PERCENT,11.80,11.80,11.80,12.05,12.05,12.05,12.12,8.43,8.43,8.43,8.43,12.65,12.12,12.12,12.12,19.88,19.88,18.67,18.67,18.71,18.34,18.82,18.56,28.88,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),174,Comoros,G,FEMALE,PERCENT,,,,,,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,,3.03,6.06,6.06,6.06,6.06,16.67,16.67,16.67,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),178,Congo,G,FEMALE,PERCENT,12.00,12.00,12.00,9.30,8.53,8.53,8.53,8.53,7.30,7.30,7.30,7.30,7.30,7.35,7.35,7.35,7.35,7.35,11.26,11.26,11.26,11.26,11.26,14.57,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),188,Costa Rica,G,FEMALE,PERCENT,19.30,19.30,19.30,35.09,35.09,35.09,35.09,38.60,36.84,36.84,36.84,38.60,38.60,38.60,38.60,33.33,33.33,35.09,35.09,45.61,45.61,45.61,45.61,47.37,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),384,Côte d'Ivoire,G,FEMALE,PERCENT,8.52,8.44,8.52,8.52,8.52,8.52,8.52,8.52,8.87,8.87,8.87,8.87,11.02,10.44,9.45,9.16,9.16,11.46,10.59,10.98,11.95,11.37,14.17,13.73,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),191,Croatia,G,FEMALE,PERCENT,0.00,20.53,20.53,20.53,17.76,21.71,21.71,21.71,20.92,20.92,23.53,23.53,23.84,23.84,23.84,25.83,15.23,19.87,18.54,20.53,19.21,31.13,31.79,31.79,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),192,Cuba,G,FEMALE,PERCENT,27.62,27.62,27.62,35.96,35.96,35.96,35.96,35.96,43.16,43.16,43.16,43.16,45.22,45.22,48.86,48.86,48.86,48.86,48.86,53.22,53.22,53.41,53.41,53.41,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),196,Cyprus,G,FEMALE,PERCENT,5.36,7.14,10.71,10.71,10.71,16.07,16.07,14.29,14.29,14.29,12.50,12.50,10.71,10.71,12.50,12.50,12.50,17.86,17.86,17.86,19.64,21.43,14.29,14.29,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),203,Czechia,G,FEMALE,PERCENT,15.00,15.00,15.00,17.00,17.00,17.00,17.00,15.50,15.50,15.50,15.50,22.00,22.00,22.00,19.50,19.00,20.00,20.00,22.00,22.50,22.50,23,25.5,26,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),408,Democratic People's Republic of Korea,G,FEMALE,PERCENT,20.09,20.09,20.09,20.09,,20.09,20.09,20.09,20.09,20.09,15.58,15.58,15.58,15.58,15.58,16.30,16.30,16.30,16.30,16.30,17.61,17.61,17.61,17.61,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),180,Democratic Republic of the Congo,G,FEMALE,PERCENT,,,,,12.00,12.00,12.00,8.40,8.40,8.40,8.40,8.40,8.94,8.94,10.64,8.94,8.94,8.94,8.94,10.31,12.80,12.8,12.8,12.8,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),208,Denmark,G,FEMALE,PERCENT,37.43,37.43,37.99,37.99,37.99,37.99,36.87,36.87,37.99,37.99,37.99,37.99,39.11,39.11,39.11,37.99,37.43,37.43,37.43,37.43,39.66,39.66,39.66,43.58,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),262,Djibouti,G,FEMALE,PERCENT,0.00,0.00,0.00,10.77,10.77,10.77,10.77,10.77,13.85,13.85,13.85,13.85,13.85,13.85,12.73,12.73,12.73,10.77,10.77,26.15,26.15,26.15,26.15,26.15,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),212,Dominica,G,FEMALE,PERCENT,18.75,18.75,18.75,18.75,18.75,19.35,12.90,12.90,16.13,18.75,14.29,12.50,12.50,12.50,12.90,21.88,21.88,25.00,25.00,25.00,38.10,34.38,34.38,37.5,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),214,Dominican Republic,G,FEMALE,PERCENT,16.11,16.11,16.11,17.33,17.33,17.33,17.33,19.66,19.66,19.66,19.66,20.77,20.77,20.77,20.77,20.77,20.77,26.84,26.84,26.84,27.89,27.89,27.89,27.89,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),218,Ecuador,G,FEMALE,PERCENT,17.36,14.63,14.63,16.00,16.00,16.00,16.00,25.00,25.00,27.63,32.26,32.26,32.26,32.26,41.61,41.61,41.61,41.61,37.96,37.96,39.42,39.42,38.69,38.69,,,,,,,,,,,,,,,,,,
